temperature_C,day,ac_count,ac_hours,fridge_count,fridge_hours,tv_count,tv_hours,light_count,light_hours,fan_count,fan_hours,ac_kwh,fridge_kwh,tv_kwh,light_kwh,fan_kwh,total_kwh
34.9,Monday,1,5.2,1,17.9,2,0.7,5,4.6,2,5.9,10.85,2.68,0.14,1.38,0.59,15.42
27.6,Wednesday,1,3.0,1,20.1,1,5.0,3,3.8,2,6.9,4.2,3.02,0.5,0.68,0.69,8.92
29.1,Tuesday,1,4.16,1,19.4,1,4.2,2,2.6,1,5.7,5.82,2.91,0.42,0.31,0.29,9.63
24.5,Tuesday,2,3.75,1,18.7,1,1.4,3,5.5,2,6.2,5.25,2.8,0.14,0.99,0.62,9.63
24.0,Tuesday,0,0.0,1,17.3,1,3.3,4,7.1,2,7.2,0.0,2.6,0.33,1.7,0.72,5.17
34.1,Thursday,1,6.31,1,18.8,1,2.8,3,4.5,1,3.5,12.45,2.82,0.28,0.81,0.18,16.55
36.8,Monday,1,4.68,1,19.7,1,3.2,4,5.2,1,7.2,11.0,2.95,0.32,1.25,0.36,15.97
29.6,Sunday,1,3.99,1,19.4,1,3.6,2,4.2,2,8.1,5.59,2.91,0.36,0.5,0.81,10.21
35.0,Friday,1,3.78,1,17.9,1,2.2,4,7.6,1,5.3,7.94,2.68,0.22,1.82,0.26,12.44
31.8,Monday,2,3.42,1,20.0,1,2.9,3,4.9,1,4.3,5.65,3.0,0.29,0.88,0.22,9.88
26.8,Thursday,1,4.29,1,18.5,1,1.2,4,4.3,2,7.8,6.01,2.78,0.12,1.03,0.78,10.89
31.8,Tuesday,1,3.8,1,21.4,1,3.1,4,8.3,1,9.4,6.28,3.21,0.31,1.99,0.47,12.06
37.7,Wednesday,1,4.55,1,21.6,1,0.9,3,5.7,3,6.3,11.27,3.24,0.09,1.03,0.94,16.55
29.8,Tuesday,0,0.0,1,19.6,1,4.3,6,7.0,1,4.2,0.0,2.94,0.43,2.52,0.21,5.94
37.8,Friday,0,0.0,1,22.4,1,1.5,2,0.1,2,6.0,0.0,3.36,0.15,0.01,0.6,4.32
16.9,Saturday,1,3.22,1,19.8,1,3.3,5,7.0,2,4.3,4.51,2.97,0.33,2.1,0.43,10.22
34.1,Wednesday,0,0.0,1,18.0,1,3.8,6,5.2,2,7.4,0.0,2.7,0.38,1.87,0.74,5.79
30.4,Tuesday,1,4.85,1,21.8,1,4.9,4,7.2,1,5.9,7.06,3.27,0.49,1.73,0.3,12.74
28.5,Sunday,1,6.71,1,22.4,1,4.8,6,8.9,3,4.1,9.39,3.36,0.48,3.2,0.62,16.69
30.5,Wednesday,1,5.49,1,21.5,1,4.4,2,0.4,2,6.4,8.07,3.22,0.44,0.05,0.64,12.49
20.1,Saturday,1,3.06,1,18.9,2,3.0,4,6.1,2,4.7,4.28,2.83,0.6,1.46,0.47,9.35
28.9,Monday,1,5.31,1,18.1,1,4.1,4,9.9,1,3.4,7.43,2.72,0.41,2.38,0.17,12.97
31.8,Thursday,0,0.0,1,19.5,1,3.3,1,1.2,1,7.5,0.0,2.92,0.33,0.07,0.38,3.98
37.4,Tuesday,1,4.08,1,23.7,0,3.4,4,5.3,2,6.6,9.94,3.56,0.0,1.27,0.66,15.9
27.4,Friday,1,4.65,1,18.2,1,2.4,3,3.3,0,5.1,6.51,2.73,0.24,0.59,0.0,10.07
26.0,Monday,1,4.49,1,21.2,1,4.7,5,6.9,2,8.5,6.29,3.18,0.47,2.07,0.85,12.73
27.5,Tuesday,1,4.56,1,19.9,1,2.2,6,14.2,1,4.5,6.38,2.98,0.22,5.11,0.22,14.91
34.6,Monday,1,3.86,1,21.4,2,1.9,2,4.1,2,5.1,7.88,3.21,0.38,0.49,0.51,12.27
31.6,Friday,0,0.0,1,18.1,1,3.4,3,2.8,3,6.8,0.0,2.72,0.34,0.5,1.02,4.52
27.4,Tuesday,1,4.08,1,19.6,1,1.2,4,5.1,2,7.8,5.71,2.94,0.12,1.22,0.78,11.01
32.6,Saturday,0,0.0,1,18.7,1,3.1,4,5.3,2,6.8,0.0,2.8,0.31,1.27,0.68,5.09
30.5,Saturday,2,5.13,1,18.7,0,4.6,5,8.0,2,4.9,7.54,2.8,0.0,2.4,0.49,13.02
34.8,Friday,1,4.23,1,21.1,1,3.4,4,6.5,2,5.5,8.76,3.16,0.34,1.56,0.55,14.43
26.5,Wednesday,1,3.58,1,18.3,0,3.0,1,1.3,3,4.7,5.01,2.74,0.0,0.08,0.7,8.27
28.4,Friday,1,2.39,1,20.4,1,2.2,5,2.5,3,5.3,3.35,3.06,0.22,0.75,0.8,7.9
28.0,Wednesday,0,0.0,1,20.1,0,1.5,6,7.5,2,5.5,0.0,3.02,0.0,2.7,0.55,6.38
22.7,Tuesday,1,3.86,1,18.6,1,3.9,4,4.4,1,6.8,5.4,2.79,0.39,1.06,0.34,9.87
31.5,Wednesday,0,0.0,1,18.9,1,3.0,4,2.9,2,4.6,0.0,2.83,0.3,0.7,0.46,4.53
31.3,Tuesday,0,0.0,1,20.5,1,3.6,2,3.7,1,7.9,0.0,3.08,0.36,0.44,0.4,4.12
30.0,Tuesday,1,3.74,1,20.0,1,0.8,3,4.0,2,6.0,5.24,3.0,0.08,0.72,0.6,9.82
28.8,Sunday,1,4.85,1,20.1,1,3.7,3,1.9,2,4.3,6.79,3.02,0.37,0.34,0.43,11.2
22.9,Thursday,1,3.5,1,19.7,1,5.0,4,10.6,2,6.8,4.9,2.95,0.5,2.54,0.68,11.59
27.9,Tuesday,1,3.19,1,19.6,1,4.3,6,9.7,3,5.8,4.47,2.94,0.43,3.49,0.87,12.15
28.3,Wednesday,1,5.76,1,20.0,1,3.3,4,7.4,2,5.1,8.06,3.0,0.33,1.78,0.51,13.59
26.0,Thursday,1,5.35,1,22.2,1,2.0,2,4.1,0,8.8,7.49,3.33,0.2,0.49,0.0,11.43
29.2,Thursday,0,0.0,1,20.8,1,3.1,3,3.1,3,5.4,0.0,3.12,0.31,0.56,0.81,4.56
32.0,Tuesday,1,4.72,1,19.8,1,3.2,3,5.1,1,5.1,7.93,2.97,0.32,0.92,0.26,12.5
39.4,Friday,1,4.35,1,18.4,1,2.5,4,0.2,2,7.9,11.81,2.76,0.25,0.05,0.79,15.75
30.9,Friday,1,2.43,1,19.4,2,2.6,4,7.9,0,7.0,3.71,2.91,0.52,1.9,0.0,9.01
31.3,Saturday,1,5.67,1,18.6,1,5.1,3,3.9,1,7.5,8.97,2.79,0.51,0.7,0.38,13.35
29.6,Thursday,2,3.3,1,18.8,1,2.0,4,6.7,3,4.9,4.62,2.82,0.2,1.61,0.74,9.92
20.4,Tuesday,2,4.47,1,17.2,1,2.6,3,3.9,1,6.4,6.26,2.58,0.26,0.7,0.32,9.94
29.9,Sunday,1,4.88,1,20.0,1,3.6,2,5.1,2,3.2,6.83,3.0,0.36,0.61,0.32,10.92
30.3,Friday,1,4.48,1,23.1,0,5.2,1,2.1,1,2.2,6.46,3.47,0.0,0.13,0.11,10.08
42.3,Sunday,1,5.09,1,20.3,1,2.7,3,0.0,3,4.8,15.9,3.04,0.27,0.0,0.72,19.87
29.0,Tuesday,1,4.8,1,21.1,1,1.2,2,3.4,3,6.1,6.72,3.16,0.12,0.41,0.92,11.5
31.5,Tuesday,1,3.28,1,21.4,1,0.9,3,3.4,1,10.8,5.28,3.21,0.09,0.61,0.54,9.83
29.8,Thursday,1,5.53,1,19.6,1,5.5,5,8.6,1,8.5,7.74,2.94,0.55,2.58,0.43,14.47
24.2,Sunday,2,3.83,1,19.7,1,1.1,5,8.6,2,3.8,5.36,2.95,0.11,2.58,0.38,11.48
35.7,Saturday,1,6.34,1,17.9,1,3.1,4,3.4,1,7.8,13.94,2.68,0.31,0.82,0.39,17.9
33.8,Thursday,1,4.33,1,20.3,1,1.5,6,7.5,2,3.3,8.36,3.04,0.15,2.7,0.33,14.36
34.0,Monday,1,4.64,1,20.1,1,2.2,3,2.0,0,9.1,9.1,3.02,0.22,0.36,0.0,12.54
25.5,Sunday,2,4.05,1,18.7,1,2.4,6,13.9,1,5.0,5.67,2.8,0.24,5.0,0.25,13.91
37.0,Friday,1,5.4,1,21.7,1,1.0,3,4.7,2,4.9,12.85,3.26,0.1,0.85,0.49,17.43
23.0,Friday,1,5.23,1,18.8,1,4.2,4,6.5,1,8.0,7.32,2.82,0.42,1.56,0.4,12.62
32.9,Friday,1,3.91,1,24.0,1,3.4,4,6.1,3,4.9,7.06,3.6,0.34,1.46,0.74,13.38
41.0,Wednesday,2,4.88,1,20.6,0,2.6,2,1.3,1,9.5,14.34,3.09,0.0,0.16,0.48,17.89
25.0,Tuesday,0,0.0,1,20.0,1,2.4,6,10.5,1,4.9,0.0,3.0,0.24,3.78,0.25,7.02
27.2,Thursday,2,1.66,1,22.9,1,4.1,2,5.0,3,7.8,2.32,3.43,0.41,0.6,1.17,8.18
30.5,Friday,1,3.62,1,16.6,0,3.1,3,0.9,2,6.2,5.32,2.49,0.0,0.16,0.62,8.62
27.5,Monday,1,3.48,1,19.6,1,5.1,3,4.2,2,7.4,4.87,2.94,0.51,0.76,0.74,9.74
22.2,Friday,1,5.87,1,19.3,0,2.6,2,3.7,1,4.0,8.22,2.9,0.0,0.44,0.2,12.0
30.3,Saturday,1,4.45,1,19.7,1,3.4,2,1.7,2,2.3,6.42,2.95,0.34,0.2,0.23,10.33
24.7,Tuesday,0,0.0,1,20.3,1,1.8,1,1.8,2,4.1,0.0,3.04,0.18,0.11,0.41,3.65
32.4,Sunday,2,2.75,1,19.7,2,2.6,3,4.1,1,5.2,4.77,2.95,0.52,0.74,0.26,9.37
25.4,Tuesday,1,3.73,1,22.1,1,4.0,6,5.1,2,5.6,5.22,3.32,0.4,1.84,0.56,11.51
37.7,Sunday,1,5.89,1,20.7,1,4.2,3,0.0,2,5.0,14.6,3.1,0.42,0.0,0.5,18.75
26.1,Sunday,0,0.0,1,20.7,1,4.8,2,2.5,1,1.7,0.0,3.1,0.48,0.3,0.08,4.15
28.4,Thursday,1,3.34,1,20.7,1,3.4,4,5.1,2,4.7,4.68,3.1,0.34,1.22,0.47,9.67
34.1,Wednesday,1,2.45,1,18.1,1,4.2,6,13.3,2,6.1,4.84,2.72,0.42,4.79,0.61,13.38
23.8,Sunday,1,2.95,1,20.3,1,3.6,3,4.7,1,5.5,4.13,3.04,0.36,0.85,0.28,8.91
31.1,Sunday,1,3.43,1,20.4,1,2.6,3,2.9,2,5.3,5.33,3.06,0.26,0.52,0.53,9.64
36.5,Thursday,1,3.79,1,18.3,1,1.5,6,1.7,1,5.1,8.76,2.74,0.15,0.61,0.26,12.42
22.0,Friday,2,4.32,1,21.3,0,2.8,2,3.8,2,6.1,6.05,3.2,0.0,0.46,0.61,10.34
30.9,Saturday,1,4.59,1,16.9,1,1.9,4,5.6,2,3.9,7.01,2.53,0.19,1.34,0.39,11.22
31.3,Monday,2,3.06,1,23.8,1,4.1,3,3.2,2,5.5,4.84,3.57,0.41,0.58,0.55,10.0
33.9,Thursday,0,0.0,1,19.9,1,4.1,6,5.8,3,5.2,0.0,2.98,0.41,2.09,0.78,6.01
23.8,Wednesday,1,5.4,1,18.7,1,2.0,6,13.0,1,3.5,7.56,2.8,0.2,4.68,0.18,15.61
23.4,Thursday,1,2.08,1,20.9,1,4.1,5,11.3,2,5.6,2.91,3.14,0.41,3.39,0.56,10.17
32.6,Tuesday,1,5.65,1,20.9,1,1.8,3,2.7,2,2.0,9.97,3.14,0.18,0.49,0.2,14.11
31.5,Friday,2,4.1,1,23.1,1,4.4,4,0.0,2,4.6,6.6,3.47,0.44,0.0,0.46,10.86
31.3,Friday,0,0.0,1,22.7,1,2.8,3,3.6,2,6.7,0.0,3.4,0.28,0.65,0.67,4.84
31.7,Sunday,0,0.0,1,18.0,1,3.5,6,8.9,1,6.8,0.0,2.7,0.35,3.2,0.34,6.59
26.6,Friday,2,3.45,1,19.6,0,4.4,6,8.3,1,6.0,4.83,2.94,0.0,2.99,0.3,11.1
31.2,Friday,1,3.7,1,18.6,0,3.6,4,1.1,1,6.4,5.8,2.79,0.0,0.26,0.32,9.18
31.5,Friday,1,4.44,1,21.1,1,2.9,5,11.8,3,7.2,7.15,3.16,0.29,3.54,1.08,15.27
26.4,Friday,1,5.95,1,22.1,2,3.9,2,0.2,1,6.2,8.33,3.32,0.78,0.02,0.31,12.86
39.3,Monday,2,4.28,1,18.0,1,2.0,4,3.3,3,8.4,11.56,2.7,0.2,0.79,1.26,16.21
32.4,Wednesday,0,0.0,1,19.9,1,1.1,4,2.6,2,1.8,0.0,2.98,0.11,0.62,0.18,3.91
24.0,Sunday,0,0.0,1,19.1,2,4.1,3,1.9,1,7.6,0.0,2.86,0.82,0.34,0.38,4.2
33.3,Friday,1,5.58,1,21.3,1,1.7,3,0.0,2,1.7,10.39,3.2,0.17,0.0,0.17,13.74
25.1,Sunday,2,3.53,1,20.6,1,3.9,1,1.4,2,4.7,4.94,3.09,0.39,0.08,0.47,8.8
33.9,Wednesday,1,5.2,1,21.8,1,3.1,5,11.4,3,7.5,10.12,3.27,0.31,3.42,1.12,17.94
35.8,Saturday,1,4.82,1,19.4,1,3.0,6,7.3,1,7.2,10.66,2.91,0.3,2.63,0.36,16.86
25.9,Friday,1,3.89,1,19.8,1,2.1,6,4.0,1,4.1,5.45,2.97,0.21,1.44,0.2,10.0
34.8,Sunday,2,6.35,1,20.6,1,2.5,5,11.4,1,5.9,13.16,3.09,0.25,3.42,0.3,20.28
32.1,Thursday,2,3.28,1,19.6,1,3.0,4,7.6,0,4.8,5.55,2.94,0.3,1.82,0.0,10.84
34.1,Sunday,2,3.32,1,20.4,1,3.2,3,2.3,2,7.7,6.56,3.06,0.32,0.41,0.77,11.35
39.5,Friday,0,0.0,1,21.9,1,2.1,6,9.3,3,5.8,0.0,3.28,0.21,3.35,0.87,7.55
28.8,Tuesday,0,0.0,1,23.2,1,3.7,4,8.2,1,4.7,0.0,3.48,0.37,1.97,0.24,5.88
26.2,Monday,1,3.91,1,19.3,1,3.8,5,3.7,2,6.8,5.47,2.9,0.38,1.11,0.68,10.66
25.6,Thursday,2,4.48,1,23.2,0,3.5,5,7.1,2,7.2,6.27,3.48,0.0,2.13,0.72,12.61
25.9,Thursday,1,3.76,1,19.2,0,2.6,5,5.4,1,5.6,5.26,2.88,0.0,1.62,0.28,10.03
29.6,Tuesday,1,3.93,1,21.3,1,3.9,1,0.5,1,7.3,5.5,3.2,0.39,0.03,0.36,9.28
31.7,Friday,1,4.65,1,19.3,1,3.6,3,4.3,2,9.1,7.62,2.9,0.36,0.77,0.91,12.58
31.4,Monday,0,0.0,1,18.5,1,1.0,5,8.1,3,1.8,0.0,2.78,0.1,2.43,0.27,5.71
34.1,Thursday,1,3.18,1,21.8,0,3.2,6,8.2,2,8.4,6.27,3.27,0.0,2.95,0.84,13.21
30.1,Monday,1,3.21,1,19.9,2,4.9,5,3.9,0,8.9,4.53,2.98,0.98,1.17,0.0,9.73
37.3,Thursday,1,4.79,1,21.9,1,4.0,4,10.9,1,6.9,11.61,3.28,0.4,2.62,0.34,18.27
28.7,Friday,1,6.12,1,21.1,1,4.2,3,3.0,1,5.4,8.57,3.16,0.42,0.54,0.27,12.86
43.6,Saturday,1,3.84,1,20.6,1,2.3,5,8.5,2,2.9,12.7,3.09,0.23,2.55,0.29,18.85
33.1,Thursday,1,4.4,1,20.8,1,3.1,5,9.4,2,6.1,8.07,3.12,0.31,2.82,0.61,14.77
25.7,Saturday,1,2.98,1,21.6,1,2.8,4,0.0,1,5.2,4.17,3.24,0.28,0.0,0.26,8.08
24.6,Thursday,1,4.1,1,21.4,1,3.0,3,5.7,2,3.2,5.74,3.21,0.3,1.03,0.32,10.45
32.4,Wednesday,1,2.11,1,19.4,1,2.5,6,8.0,2,4.7,3.66,2.91,0.25,2.88,0.47,10.08
28.9,Friday,1,3.02,1,20.6,1,1.8,4,4.6,2,5.9,4.23,3.09,0.18,1.1,0.59,9.33
33.6,Tuesday,0,0.0,1,22.3,0,3.1,5,6.3,3,6.5,0.0,3.34,0.0,1.89,0.98,6.13
32.4,Saturday,0,0.0,1,20.1,1,2.2,3,5.2,1,4.0,0.0,3.02,0.22,0.94,0.2,4.24
29.6,Tuesday,1,3.36,1,19.3,2,3.6,3,0.0,3,1.2,4.7,2.9,0.72,0.0,0.18,8.53
25.8,Friday,1,3.78,1,19.1,0,3.0,6,8.1,1,5.5,5.29,2.86,0.0,2.92,0.28,11.62
22.4,Sunday,2,3.5,1,21.3,1,1.1,2,3.2,1,4.2,4.9,3.2,0.11,0.38,0.21,8.97
27.8,Tuesday,1,4.54,1,19.6,2,4.4,4,11.1,3,5.1,6.36,2.94,0.88,2.66,0.76,13.69
34.3,Friday,1,2.17,1,20.5,1,3.4,4,1.7,3,1.9,4.35,3.08,0.34,0.41,0.29,8.62
31.1,Tuesday,1,3.15,1,19.6,1,2.5,5,8.1,2,5.4,4.9,2.94,0.25,2.43,0.54,11.14
23.8,Saturday,1,2.79,1,21.8,1,2.7,3,3.0,2,6.7,3.91,3.27,0.27,0.54,0.67,8.69
30.9,Wednesday,1,4.9,1,20.2,1,1.8,3,5.0,2,5.1,7.48,3.03,0.18,0.9,0.51,12.24
31.9,Tuesday,0,0.0,1,22.1,1,2.9,6,11.5,2,6.2,0.0,3.32,0.29,4.14,0.62,8.42
25.6,Saturday,0,0.0,1,22.1,1,3.7,4,3.4,1,5.4,0.0,3.32,0.37,0.82,0.27,4.77
30.8,Thursday,1,5.1,1,19.9,0,4.7,2,5.3,2,2.1,7.71,2.98,0.0,0.64,0.21,11.57
30.3,Friday,2,3.82,1,22.0,1,2.9,2,4.4,2,6.2,5.51,3.3,0.29,0.53,0.62,10.3
24.3,Monday,0,0.0,1,19.5,1,3.0,6,11.2,2,4.4,0.0,2.92,0.3,4.03,0.44,7.74
31.8,Sunday,0,0.0,1,20.4,1,4.2,2,2.2,2,3.4,0.0,3.06,0.42,0.26,0.34,4.13
32.8,Monday,1,5.95,1,18.8,1,1.8,4,3.9,2,7.4,10.66,2.82,0.18,0.94,0.74,15.19
35.4,Friday,1,4.48,1,20.9,1,3.1,4,6.5,3,6.5,9.66,3.14,0.31,1.56,0.98,15.62
35.3,Wednesday,2,3.46,1,20.5,0,2.2,6,6.4,2,4.8,7.41,3.08,0.0,2.3,0.48,13.08
23.1,Tuesday,1,1.71,1,20.8,1,3.1,5,4.9,3,5.7,2.39,3.12,0.31,1.47,0.86,8.19
25.3,Wednesday,2,1.8,1,18.0,1,3.9,4,10.4,1,6.3,2.52,2.7,0.39,2.5,0.32,8.48
32.6,Monday,1,4.88,1,17.0,1,1.3,1,1.7,2,2.6,8.61,2.55,0.13,0.1,0.26,11.85
32.6,Sunday,1,4.86,1,18.3,1,4.1,6,11.3,2,3.7,8.57,2.74,0.41,4.07,0.37,16.21
32.6,Saturday,1,3.63,1,20.7,0,3.4,4,10.3,2,3.8,6.4,3.1,0.0,2.47,0.38,12.29
45.0,Sunday,1,7.1,1,21.0,1,3.1,6,8.3,2,7.0,24.85,3.15,0.31,2.99,0.7,31.94
32.9,Friday,1,4.16,1,21.7,1,4.3,4,3.6,2,9.1,7.51,3.26,0.43,0.86,0.91,13.07
35.7,Friday,0,0.0,1,19.4,2,2.2,5,3.1,3,7.2,0.0,2.91,0.44,0.93,1.08,5.26
34.8,Wednesday,1,5.87,1,20.3,1,1.7,2,4.5,2,6.2,12.17,3.04,0.17,0.54,0.62,16.56
33.3,Saturday,1,5.57,1,18.9,2,2.0,5,5.4,1,3.9,10.37,2.83,0.4,1.62,0.2,15.56
28.4,Wednesday,2,3.98,1,22.1,2,3.5,3,0.0,2,7.5,5.57,3.32,0.7,0.0,0.75,10.64
33.8,Tuesday,1,5.04,1,18.9,1,2.5,3,0.0,2,5.3,9.74,2.83,0.25,0.0,0.53,13.52
26.1,Thursday,1,4.47,1,21.8,1,2.1,2,0.7,1,4.0,6.26,3.27,0.21,0.08,0.2,9.94
28.8,Saturday,0,0.0,1,19.6,1,2.0,2,2.2,3,7.4,0.0,2.94,0.2,0.26,1.11,4.4
